Country,Political System,Key Form,Majority Religion,WWII Alignment,Post-War Alignment
Moldova,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied (USSR),Soviet Bloc (USSR)
Venezuela,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Guinea,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Iran,Autocracy,Theocratic Republic,Islam (Shia),Allied,Neutral/Non-Aligned
Ghana,Democracy,Presidential Republic,Christianity,Occupied (British Colony),Neutral/Non-Aligned
Turkey,Semi-Democracy,Presidential Republic,Islam,Neutral,Western Bloc (NATO)
Burkina Faso,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Cambodia,Semi-Democracy,Parliamentary Republic,Buddhism,Occupied (Japan),Soviet Bloc (USSR-aligned)
Benin,Democracy,Presidential Republic,Christianity/Indigenous,Allied (French Colony),Western Bloc (France-aligned)
Comoros,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Uganda,Semi-Democracy,Presidential Republic,Christianity,British Protectorate,Western Bloc (U.K.-aligned)
Nigeria,Semi-Democracy,Federal Republic,Islam/Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Kenya,Democracy,Presidential Republic,Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Tunisia,Democracy,Semi-Presidential Republic,Islam,Occupied (French Protectorate),Neutral/Non-Aligned
Pakistan,Semi-Democracy,Federal Republic,Islam,British Colony,Western Bloc (U.S.-aligned)
Palestinian Territories*,Semi-Democracy,Mixed Autonomous Authority,Islam,British Mandate,Neutral/Non-Aligned
Mali,Democracy,Semi-Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Namibia,Democracy,Semi-Presidential Republic,Christianity,Allied (South African Protectorate),Neutral/Non-Aligned
"Eswatini, Kingdom of*",Semi-Autocracy,Absolute Monarchy,Christianity/Indigenous,British Protectorate,Neutral/Non-Aligned
Myanmar,Semi-Autocracy,Military Junta,Buddhism,Japanese Occupation,Non-Aligned Movement
Sri Lanka,Democracy,Presidential Republic,Buddhism,British Colony,Neutral/Non-Aligned
Madagascar,Democracy,Semi-Presidential Republic,Christianity/Indigenous,Occupied (French Colony),Neutral/Non-Aligned
Egypt,Semi-Democracy,Semi-Presidential Republic,Islam,British Protectorate,Neutral/Non-Aligned
Chad,Semi-Autocracy,Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Ethiopia,Democracy,Federal Parliamentary Republic,Christianity,Occupied by Italy,Neutral/Non-Aligned
Yemen,Autocracy,Republic,Islam,British Protectorate/North Yemen Neutral,Neutral/Non-Aligned
Mauritania,Autocracy,Presidential Republic,Islam,French Colony,Neutral/Non-Aligned
Jordan,Semi-Democracy,Constitutional Monarchy,Islam,British Protectorate,Western Bloc (U.S.-aligned)
Togo,Semi-Autocracy,Presidential Republic,Christianity/Islam,Occupied (French/British),Western Bloc (France-aligned)
India,Democracy,Federal Parliamentary Republic,Hinduism,British Colony,Non-Aligned Movement
Zambia,Democracy,Presidential Republic,Christianity,British Colony,Neutral/Non-Aligned
Malawi,Democracy,Presidential Republic,Christianity,British Protectorate,Neutral/Non-Aligned
Tanzania,Democracy,Presidential Republic,Christianity/Islam,British Protectorate,Neutral/Non-Aligned
Sierra Leone,Democracy,Presidential Republic,Islam/Christianity,British Colony,Neutral/Non-Aligned
Lesotho,Semi-Democracy,Constitutional Monarchy,Christianity,British Protectorate,Neutral/Non-Aligned
Botswana,Democracy,Parliamentary Republic,Christianity,British Protectorate,Neutral/Non-Aligned
Rwanda,Autocracy,Presidential Republic,Christianity,Allied (Belgian Colony),Non-Aligned Movement
Zimbabwe,Semi-Democracy,Presidential Republic,Christianity,British Colony,Neutral/Non-Aligned
Lebanon,Semi-Democracy,Parliamentary Republic,Islam/Christianity,French Mandate,Neutral/Non-Aligned
Afghanistan,Autocracy,Islamic Emirate/Republic,Islam,Neutral,Neutral/Non-Aligned
Uganda,Semi-Democracy,Presidential Republic,Christianity,British Protectorate,Western Bloc (U.K.-aligned)
Nigeria,Semi-Democracy,Federal Republic,Islam/Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Kenya,Democracy,Presidential Republic,Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Tunisia,Democracy,Semi-Presidential Republic,Islam,Occupied (French Protectorate),Neutral/Non-Aligned
Pakistan,Semi-Democracy,Federal Republic,Islam,British Colony,Western Bloc (U.S.-aligned)
Palestinian Territories*,Semi-Democracy,Mixed Autonomous Authority,Islam,British Mandate,Neutral/Non-Aligned
Mali,Democracy,Semi-Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Namibia,Democracy,Semi-Presidential Republic,Christianity,Allied (South African Protectorate),Neutral/Non-Aligned
"Eswatini, Kingdom of*",Semi-Autocracy,Absolute Monarchy,Christianity/Indigenous,British Protectorate,Neutral/Non-Aligned
Myanmar,Semi-Autocracy,Military Junta,Buddhism,Japanese Occupation,Non-Aligned Movement
Sri Lanka,Democracy,Presidential Republic,Buddhism,British Colony,Neutral/Non-Aligned
Madagascar,Democracy,Semi-Presidential Republic,Christianity/Indigenous,Occupied (French Colony),Neutral/Non-Aligned
Egypt,Semi-Democracy,Semi-Presidential Republic,Islam,British Protectorate,Neutral/Non-Aligned
Chad,Semi-Autocracy,Presidential Republic,Islam,Allied (French Colony),Neutral/Non-Aligned
Ethiopia,Democracy,Federal Parliamentary Republic,Christianity,Occupied by Italy,Neutral/Non-Aligned
Yemen,Autocracy,Republic,Islam,British Protectorate/North Yemen Neutral,Neutral/Non-Aligned
Mauritania,Autocracy,Presidential Republic,Islam,French Colony,Neutral/Non-Aligned
Jordan,Semi-Democracy,Constitutional Monarchy,Islam,British Protectorate,Western Bloc (U.S.-aligned)
Togo,Semi-Autocracy,Presidential Republic,Christianity/Islam,Occupied (French/British),Western Bloc (France-aligned)
India,Democracy,Federal Parliamentary Republic,Hinduism,British Colony,Non-Aligned Movement
Zambia,Democracy,Presidential Republic,Christianity,British Colony,Neutral/Non-Aligned
Malawi,Democracy,Presidential Republic,Christianity,British Protectorate,Neutral/Non-Aligned
Tanzania,Democracy,Presidential Republic,Christianity/Islam,British Protectorate,Neutral/Non-Aligned
Sierra Leone,Democracy,Presidential Republic,Islam/Christianity,British Colony,Neutral/Non-Aligned
Lesotho,Semi-Democracy,Constitutional Monarchy,Christianity,British Protectorate,Neutral/Non-Aligned
Botswana,Democracy,Parliamentary Republic,Christianity,British Protectorate,Neutral/Non-Aligned
Rwanda,Autocracy,Presidential Republic,Christianity,Allied (Belgian Colony),Non-Aligned Movement
Zimbabwe,Semi-Democracy,Presidential Republic,Christianity,British Colony,Neutral/Non-Aligned
Lebanon,Semi-Democracy,Parliamentary Republic,Islam/Christianity,French Mandate,Neutral/Non-Aligned
Afghanistan,Autocracy,Islamic Emirate/Republic,Islam,Neutral,Neutral/Non-Aligned
Jamaica,Democracy,Parliamentary Republic,Christianity (Protestant),Allied,Western Bloc (U.S.-aligned)
Kyrgyzstan,Autocracy,Presidential Republic,Islam,Allied (USSR),Soviet Bloc (USSR)
Belarus,Autocracy,Presidential Republic,Christianity (Orthodox),Allied (USSR),Soviet Bloc (USSR)
Colombia,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Western Bloc (U.S.-aligned)
Bosnia and Herzegovina,Democracy,Parliamentary Republic,Islam/Christianity (Orthodox),Allied (Yugoslavia),Neutral (Post-Yugoslav)
Mongolia,Democracy,Semi-Presidential Republic,Buddhism,Allied (USSR-aligned),Soviet Bloc (USSR)
Dominican Republic,Democracy,Presidential Republic,Christianity (Catholic),Allied,Western Bloc (U.S.-aligned)
Malaysia,Semi-Democracy,Constitutional Monarchy,Islam,Neutral,Neutral/Non-Aligned
Bolivia,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
China,One-Party State,Communist Party Rule,Folk Religion/Buddhism,Allied,Soviet Bloc (USSR-aligned)
Paraguay,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Peru,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Montenegro,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied (Yugoslavia),Neutral (Post-Yugoslav)
Ecuador,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Vietnam,One-Party State,Communist Party Rule,Buddhism,Occupied by Japan,Soviet Bloc (USSR-aligned)
Turkmenistan,Autocracy,Presidential Republic,Islam,Allied (USSR),Soviet Bloc (USSR)
North Cyprus,Semi-Democracy,Parliamentary Republic,Islam,Occupied (British),"Western Bloc (U.S.-aligned, Turkey-aligned)"
Russia,Semi-Democracy,Federal Republic,Christianity (Orthodox),Allied (USSR),Soviet Bloc (USSR)
Hong Kong (SAR),Semi-Democracy,Special Administrative Region,Buddhism/Christianity,Allied (British Colony),Western Bloc (U.K.-aligned)
Armenia,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied (USSR),Soviet Bloc (USSR)
Tajikistan,Autocracy,Presidential Republic,Islam,Allied (USSR),Soviet Bloc (USSR)
Nepal,Democracy,Federal Democratic Republic,Hinduism,Neutral,Neutral/Non-Aligned
Bulgaria,Democracy,Parliamentary Republic,Christianity (Orthodox),Axis,Soviet Bloc (Warsaw Pact)
Libya,Autocracy,Transitional Government,Islam (Sunni),Axis (Italian Colony),Non-Aligned Movement
Indonesia,Democracy,Presidential Republic,Islam,Occupied (Japan),Non-Aligned Movement
Ivory Coast,Semi-Democracy,Presidential Republic,Islam/Christianity,Occupied (French Colony),Western Bloc (France-aligned)
North Macedonia,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied (Yugoslavia),Neutral (Post-Yugoslav)
Albania,Democracy,Parliamentary Republic,Islam,Axis,Soviet Bloc (Warsaw Pact)
South Africa,Democracy,Parliamentary Republic,Christianity (Protestant),Allied,Western Bloc (U.K.-aligned)
Azerbaijan,Autocracy,Presidential Republic,Islam,Allied (USSR),Soviet Bloc (USSR)
Gambia,Democracy,Presidential Republic,Islam,Allied (British Colony),Western Bloc (U.K.-aligned)
Bangladesh,Democracy,Parliamentary Republic,Islam,Allied (British Colony),Non-Aligned Movement
Laos,One-Party State,Communist Party Rule,Buddhism,Occupied by Japan,Soviet Bloc (USSR-aligned)
Algeria,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Non-Aligned Movement
Liberia,Democracy,Presidential Republic,Christianity,Allied,Western Bloc (U.S.-aligned)
Ukraine,Democracy,Semi-Presidential Republic,Christianity (Orthodox),Allied (USSR),Soviet Bloc (USSR)
Congo (DRC),Semi-Democracy,Presidential Republic,Christianity,Occupied (Belgian Colony),Non-Aligned Movement
Morocco,Semi-Democracy,Constitutional Monarchy,Islam,Allied (French Protectorate),Western Bloc (France-aligned)
Mozambique,Semi-Democracy,Presidential Republic,Christianity/Indigenous,Neutral (Portuguese Colony),Non-Aligned Movement
Cameroon,Semi-Democracy,Presidential Republic,Christianity/Islam,Allied (French/British Mandate),Western Bloc (France-aligned)
Senegal,Democracy,Presidential Republic,Islam,Allied (French Colony),Western Bloc (France-aligned)
Niger,Democracy,Presidential Republic,Islam,Allied (French Colony),Western Bloc (France-aligned)
Georgia,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied (USSR),Soviet Bloc (USSR)
Gabon,Autocracy,Presidential Republic,Christianity,Allied (French Colony),Western Bloc (France-aligned)
Iraq,Autocracy,Federal Parliamentary Republic,Islam (Shia),Allied (British Mandate),Western Bloc (U.S.-aligned)
Venezuela,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Guinea,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Iran,Autocracy,Theocratic Republic,Islam (Shia),Allied,Neutral/Non-Aligned
Ghana,Democracy,Presidential Republic,Christianity,Occupied (British Colony),Neutral/Non-Aligned
Turkey,Semi-Democracy,Presidential Republic,Islam,Neutral,Western Bloc (NATO)
Burkina Faso,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Cambodia,Semi-Democracy,Parliamentary Republic,Buddhism,Occupied (Japan),Soviet Bloc (USSR-aligned)
Benin,Democracy,Presidential Republic,Christianity/Indigenous,Allied (French Colony),Western Bloc (France-aligned)
Comoros,Semi-Democracy,Presidential Republic,Islam,Occupied (French Colony),Neutral/Non-Aligned
Finland,Democracy,Parliamentary Republic,Christianity (Lutheran),Axis (Co-belligerent),Neutral/Non-Aligned
Denmark,Democracy,Constitutional Monarchy,Christianity (Lutheran),Allied (Occupied),Western Bloc (NATO)
Iceland,Democracy,Parliamentary Republic,Christianity (Lutheran),Allied (Occupied by UK),Western Bloc (NATO)
Switzerland,Democracy,Direct Democracy,Christianity (Catholic/Protestant),Neutral,Neutral
Netherlands,Democracy,Constitutional Monarchy,Christianity (Catholic/Protestant),Allied (Occupied),Western Bloc (NATO)
Luxembourg,Democracy,Constitutional Monarchy,Christianity (Catholic),Allied (Occupied),Western Bloc (NATO)
Sweden,Democracy,Constitutional Monarchy,Christianity (Lutheran),Neutral,Neutral/Non-Aligned
Norway,Democracy,Constitutional Monarchy,Christianity (Lutheran),Allied (Occupied),Western Bloc (NATO)
Israel,Democracy,Parliamentary Republic,Judaism,Allied (British Mandate),Western Bloc (U.S.-aligned)
New Zealand,Democracy,Parliamentary Republic,Christianity (Anglican),Allied,Western Bloc (NATO)
Austria,Democracy,Federal Republic,Christianity (Catholic),Axis (Annexed),Neutral/Non-Aligned
Australia,Democracy,Federal Parliamentary Democracy,Christianity (Protestant),Allied,Western Bloc (NATO)
Ireland,Democracy,Parliamentary Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Germany,Democracy,Federal Republic,Christianity (Protestant/Catholic),Axis,"Western Bloc (NATO, West Germany)"
Canada,Democracy,Federal Parliamentary Monarchy,Christianity (Catholic/Protestant),Allied,Western Bloc (NATO)
United States,Democracy,Federal Republic,Christianity (Protestant),Allied,Western Bloc (NATO)
United Kingdom,Democracy,Constitutional Monarchy,Christianity (Anglican),Allied,Western Bloc (NATO)
Czechia,Democracy,Parliamentary Republic,Christianity (Catholic),Axis (Occupied),"Soviet Bloc (Warsaw Pact, former Czechoslovakia)"
Belgium,Democracy,Constitutional Monarchy,Christianity (Catholic),Allied (Occupied),Western Bloc (NATO)
France,Democracy,Semi-Presidential Republic,Christianity (Catholic),Allied,Western Bloc (NATO)
Bahrain,Autocracy,Constitutional Monarchy,Islam (Sunni),Occupied (British),Western Bloc (U.S.-aligned)
Slovenia,Democracy,Parliamentary Republic,Christianity (Catholic),Allied (Yugoslavia),Non-Aligned (former Yugoslavia)
Costa Rica,Democracy,Presidential Republic,Christianity (Catholic),Allied,Neutral/Non-Aligned
United Arab Emirates,Autocracy,Federation of Emirates,Islam (Sunni),Occupied (British),Western Bloc (U.S.-aligned)
Saudi Arabia,Autocracy,Absolute Monarchy,Islam (Sunni),Neutral,Western Bloc (U.S.-aligned)
Taiwan (Province of China),Democracy,Semi-Presidential Republic,Buddhism/Folk Religion,Allied (Occupied by Japan),Western Bloc (U.S.-aligned)
Singapore,Semi-Democracy,Parliamentary Republic,Buddhism/Christianity,Allied (Occupied by Japan),Neutral/Non-Aligned
Romania,Democracy,Semi-Presidential Republic,Christianity (Orthodox),Axis,Soviet Bloc (Warsaw Pact)
Spain,Democracy,Constitutional Monarchy,Christianity (Catholic),Neutral,Western Bloc (Joined NATO in 1982)
Uruguay,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Italy,Democracy,Parliamentary Republic,Christianity (Catholic),Axis,Western Bloc (NATO)
Kosovo,Democracy,Parliamentary Republic,Islam,Allied (Yugoslavia),Neutral (Post-Yugoslav)
Malta,Democracy,Parliamentary Republic,Christianity (Catholic),Allied,Western Bloc (NATO)
Lithuania,Democracy,Semi-Presidential Republic,Christianity (Catholic),Axis (Occupied by USSR),Soviet Bloc (Warsaw Pact)
Slovakia,Democracy,Parliamentary Republic,Christianity (Catholic),Axis,Soviet Bloc (Warsaw Pact)
Estonia,Democracy,Parliamentary Republic,Christianity (Lutheran),Axis (Occupied by USSR),Soviet Bloc (Warsaw Pact)
Panama,Democracy,Presidential Republic,Christianity (Catholic),Allied,Western Bloc (U.S.-aligned)
Brazil,Democracy,Federal Republic,Christianity (Catholic),Allied,Neutral/Non-Aligned
Guatemala,Semi-Democracy,Presidential Republic,Christianity (Catholic),Allied,Western Bloc (U.S.-aligned)
Kazakhstan,Autocracy,Presidential Republic,Islam,Allied (USSR),Soviet Bloc (USSR)
Cyprus,Democracy,Presidential Republic,Christianity (Orthodox),Allied (Occupied),Neutral/Non-Aligned
Latvia,Democracy,Parliamentary Republic,Christianity (Lutheran),Axis (Occupied by USSR),Soviet Bloc (Warsaw Pact)
Serbia,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied (Yugoslavia),Neutral (Post-Yugoslav)
Chile,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Nicaragua,Autocracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Mexico,Democracy,Federal Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Croatia,Democracy,Parliamentary Republic,Christianity (Catholic),Axis (Part of Axis),Neutral (Post-Yugoslav)
Poland,Democracy,Parliamentary Republic,Christianity (Catholic),Allied (Occupied),Soviet Bloc (Warsaw Pact)
El Salvador,Democracy,Presidential Republic,Christianity (Catholic),Allied,Western Bloc (U.S.-aligned)
Kuwait,Semi-Democracy,Constitutional Monarchy,Islam (Sunni),Occupied (British),Western Bloc (U.S.-aligned)
Hungary,Semi-Democracy,Parliamentary Republic,Christianity (Catholic),Axis,Soviet Bloc (Warsaw Pact)
Mauritius,Democracy,Parliamentary Republic,Hinduism,Allied,Neutral/Non-Aligned
Uzbekistan,Autocracy,Presidential Republic,Islam,Allied (USSR),Soviet Bloc (USSR)
Japan,Democracy,Constitutional Monarchy,Shinto/Buddhism,Axis,Western Bloc (U.S.-aligned)
Honduras,Democracy,Presidential Republic,Christianity (Catholic),Allied,Western Bloc (U.S.-aligned)
Portugal,Democracy,Semi-Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Argentina,Democracy,Presidential Republic,Christianity (Catholic),Neutral,Neutral/Non-Aligned
Greece,Democracy,Parliamentary Republic,Christianity (Orthodox),Allied,Western Bloc (NATO)
South Korea,Democracy,Presidential Republic,Christianity/Buddhism,Allied (Occupied by Japan),Western Bloc (U.S.-aligned)
Philippines,Democracy,Presidential Republic,Christianity (Catholic),Allied,Western Bloc (U.S.-aligned)
Thailand,Semi-Democracy,Constitutional Monarchy,Buddhism,Axis (Occupied),Neutral/Non-Aligned